wallet,abridge,amount
bc1p2344tp4n8c47jpuekprrxdztt4v0u79ghqwtgn9y9k4u3kwex7nqt866up,bc1p...66up,530
bc1prlfvpa4dxxqxz3pmn3aa0zyja50067qvemyng37c9p5yyuht3e8sp2s8ge,bc1p...s8ge,141
bc1pjyslelnlyep45sjx8kc5u34qdeceq6uwsdsuhtqme4egksprk5kqsvm2fj,bc1p...m2fj,136
bc1phdk6wmfan2mz2268hntjckldkwhgq04qjhv76rpt5tzwpdksp76qge2pc7,bc1p...2pc7,105
bc1qj2x0d7c588g7k65lr8pmeu2qhcevwhmp7rqe4v,bc1q...qe4v,101
bc1pfxj09g6n8l2cevghgyvhrp5reyeyg7a7m8e5f29h7dtn95ggurzsw0a9c5,bc1p...a9c5,100
bc1pamud0qhgw9ektup42rvxy2hqypdvzxceyxyuusnzvqkaj8hguazsqam6aa,bc1p...m6aa,86
bc1pre0mxdwkga67sag8agj5d4yf7rjg7f4qts75p7x4h4e5erm9ests9qmnqe,bc1p...mnqe,66
bc1p47rmwnzr5lmk5dz5a5pf4vfm64qgvk7v6g4ast0kp3vqp35y5lfqlw7whg,bc1p...7whg,61
bc1p56mrtjxc7ttsnk6uvqw09xrf4krrs4ag43h0ndhzehkjscgcuetqv8j2ap,bc1p...j2ap,56
bc1pu8krp96t5gyn92j3j4x7892ffju0ppy2n5jh2xlaz6kd87e9cpls0u6e2y,bc1p...6e2y,50
bc1phr47l7z4z9wfcg8wee5g5apgmxtzaqeax20g3j0tw6fntkh50lvsvvtjfc,bc1p...tjfc,44
bc1pqsejtw02e5v9dj4xrmegpqcer6dk8ljhszyszkuh5krf7lj250hsx9cff5,bc1p...cff5,41
bc1pwcr7hgcv699sv87lnn4rw9nr4wngsye5z3cyr47f07grkpmaaqnsdmukt4,bc1p...ukt4,40
bc1pyjj72usm66djsd0qrc3j0q9rtrfm2szvrhtlrerw5ehma4p4pgzqpwxtjc,bc1p...xtjc,40
